"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
482516,"JDT","Doc","jdt-doc-inbox","RESOLVED","WORKSFORME","Windows XP eclipse mars installation","2015-11-18 14:49:29"
458958,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[performance tests] Significant increase in move static members test","2018-10-25 01:44:06"
540931,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[save actions][clean up] trailing whitespace not removed from otherwise empty lines","2019-08-23 09:41:50"
520070,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","Javadoc tooltip and view displayed with black text on black background","2018-04-08 07:21:19"
465650,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[hovering] Background colour javadoc pop-up ignored","2015-04-28 11:06:05"
544481,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","Indentation tabs randomly turn into spaces","2019-02-15 06:11:24"
526514,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[content assist] Constructor content assist not showing correctly when type mismatch.","2017-11-13 10:46:02"
495568,"JDT","Core","mateusz.matela","CLOSED","WORKSFORME","Java Code Style Formatter Problem in windows and macos","2016-07-09 18:13:12"
471282,"JDT","Core","jdt-core-inbox","CLOSED","WORKSFORME","[formatter] JavaDoc formatter removes blank lines before tags","2015-12-28 19:49:23"
545913,"JDT","Core","manpalat","RESOLVED","WORKSFORME","[12] Missing warning for default case in switch case for String","2019-04-03 00:37:45"
532079,"JDT","UI","register.eclipse","RESOLVED","WORKSFORME","[refactoring] Inline Method does not remove the method after applying the refactoring","2018-03-07 15:11:59"
500844,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Improved autocomplete feature in Eclipse Java","2016-09-06 09:48:40"
474251,"JDT","UI","markus.kell.r","RESOLVED","WORKSFORME","Members Sort Order is broken","2015-08-17 15:23:43"
534902,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Deleted/removed files when I added a directory to resources.","2018-05-21 10:15:34"
510269,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[Outline] Inner interfaces not visible if source is not available","2017-01-23 05:35:01"
478593,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","NullPointerException in CompilationUnitEditor$RememberedOffset.getRememberedOffset (CompilationUnitEditor.java:824)","2015-10-30 10:15:16"
537508,"JDT","Core","jarthana","RESOLVED","WORKSFORME","The compiler compliance specified is 1.n but a JRE m is used warning","2018-08-02 10:10:15"
515638,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","[Test] testAlreadyTerminatedProcess - Exception occurred executing command line.","2018-01-30 03:46:19"
515741,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Code completion for new Interface() does not create the methods","2017-04-25 08:43:06"
459736,"JDT","UI","jdt-ui-inbox","CLOSED","WORKSFORME","Save failed","2018-06-21 08:32:19"
541096,"JDT","Core","jdt-core-inbox","CLOSED","WORKSFORME","""Unexpected internal error"" trying to convert stream to array","2019-01-23 00:56:52"
521041,"JDT","UI","stephan.herrmann","CLOSED","WORKSFORME","GUI too small","2019-08-30 14:59:32"
488918,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","Eclipse getting hanged during Debugging process","2019-11-03 22:57:51"
466691,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse starts up with a font dialog open","2015-05-11 09:45:17"
